"","X12hr_DryMtrDigest","Fat","Fiber","Mtblzble_Enrgy","NetEnGain","NetEnLact","NetEnMaint","Phosphorus","Protein","Starch","TotalNutrients","genome_dist"
"X12hr_DryMtrDigest",1,0.24783896082711,-0.239132794279018,0.405468580168733,0.260464511908379,0.205389945662622,0.235655343114997,-0.0667117413138296,-0.295025000809635,0.120533113679616,0.243800446519373,-0.10810691782034
"Fat",0.24783896082711,1,-0.598899379087258,0.65205762931437,0.560854463765569,0.493345322377307,0.589924995784961,-0.0982787270945075,-0.302158562244719,-0.364445366637366,0.570857090982427,0.100439678571003
"Fiber",-0.239132794279018,-0.598899379087258,1,-0.942371582429809,-0.996406128390707,-0.987743223406899,-0.999315093232682,0.374687487217318,0.570428029013376,-0.124582940449026,-0.998092134364015,-0.0666924939561002
"Mtblzble_Enrgy",0.405468580168733,0.65205762931437,-0.942371582429809,1,0.940000305376899,0.92167845026168,0.938083556138673,-0.300740475096002,-0.541633705650132,0.0105879300886493,0.937834599291509,0.0348351348590441
"NetEnGain",0.260464511908379,0.560854463765569,-0.996406128390707,0.940000305376899,1,0.992948105427404,0.997565652106383,-0.379260038191272,-0.585562500338147,0.162956130764325,0.999386602978775,0.0602143062405557
"NetEnLact",0.205389945662622,0.493345322377307,-0.987743223406899,0.92167845026168,0.992948105427404,1,0.988301201497402,-0.356206858713416,-0.559482886334464,0.176015732540339,0.991924393802873,0.040206266064743
"NetEnMaint",0.235655343114997,0.589924995784961,-0.999315093232682,0.938083556138673,0.997565652106383,0.988301201497402,1,-0.389936751751517,-0.578959555778258,0.13940904140765,0.999157132080304,0.078210638803595
"Phosphorus",-0.0667117413138296,-0.0982787270945075,0.374687487217318,-0.300740475096002,-0.379260038191272,-0.356206858713416,-0.389936751751517,1,0.768630370793,-0.61510653434349,-0.388658036032535,-0.179776970718463
"Protein",-0.295025000809635,-0.302158562244719,0.570428029013376,-0.541633705650132,-0.585562500338147,-0.559482886334464,-0.578959555778258,0.768630370793,1,-0.659873309334193,-0.585947460627462,-0.0824796568960877
"Starch",0.120533113679616,-0.364445366637366,-0.124582940449026,0.0105879300886493,0.162956130764325,0.176015732540339,0.13940904140765,-0.61510653434349,-0.659873309334193,1,0.15655365324712,0.0932546941143272
"TotalNutrients",0.243800446519373,0.570857090982427,-0.998092134364015,0.937834599291509,0.999386602978775,0.991924393802873,0.999157132080304,-0.388658036032535,-0.585947460627462,0.15655365324712,1,0.0688517290121391
"genome_dist",-0.10810691782034,0.100439678571003,-0.0666924939561002,0.0348351348590441,0.0602143062405557,0.040206266064743,0.078210638803595,-0.179776970718463,-0.0824796568960877,0.0932546941143272,0.0688517290121391,1
